full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
shareAI-lab/learn-claude-code,70717,70717,11515,22,22,5,https://github.com/shareAI-lab/learn-claude-code
ChinaSiro/claude-code-sourcemap,9527,9527,14696,4,4,3,https://github.com/ChinaSiro/claude-code-sourcemap
Alishahryar1/free-claude-code,39701,39701,6485,19,19,6,https://github.com/Alishahryar1/free-claude-code
pengchengneo/Claude-Code,1634,1634,2529,1,1,0,https://github.com/pengchengneo/Claude-Code
hesreallyhim/awesome-claude-code,49834,49834,4348,6,6,0,https://github.com/hesreallyhim/awesome-claude-code
shanraisshan/claude-code-best-practice,62456,62456,6248,4,4,0,https://github.com/shanraisshan/claude-code-best-practice
musistudio/claude-code-router,35743,35743,2946,-3,-3,-1,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,29118,29118,3194,26,26,3,https://github.com/davila7/claude-code-templates
LING71671/Open-ClaudeCode,914,914,1218,0,0,1,https://github.com/LING71671/Open-ClaudeCode
Donchitos/Claude-Code-Game-Studios,22880,22880,3287,6,6,1,https://github.com/Donchitos/Claude-Code-Game-Studios
VoltAgent/awesome-claude-code-subagents,23211,23211,2711,3,3,2,https://github.com/VoltAgent/awesome-claude-code-subagents
oboard/claude-code-rev,3249,3249,3825,0,0,1,https://github.com/oboard/claude-code-rev
ponponon/claude_code_src,2315,2315,3534,0,0,0,https://github.com/ponponon/claude_code_src
anthropics/claude-code-action,8328,8328,1962,0,0,0,https://github.com/anthropics/claude-code-action
Piebald-AI/claude-code-system-prompts,11762,11762,2002,1,1,0,https://github.com/Piebald-AI/claude-code-system-prompts
liuup/claude-code-analysis,3513,3513,1946,1,1,0,https://github.com/liuup/claude-code-analysis
diet103/claude-code-infrastructure-showcase,9733,9733,1214,0,0,0,https://github.com/diet103/claude-code-infrastructure-showcase
pedrohcgs/claude-code-my-workflow,1397,1397,2748,1,1,0,https://github.com/pedrohcgs/claude-code-my-workflow
frankbria/ralph-claude-code,9528,9528,728,0,0,0,https://github.com/frankbria/ralph-claude-code
ykdojo/claude-code-tips,9197,9197,719,2,2,0,https://github.com/ykdojo/claude-code-tips
chauncygu/collection-claude-code-source-code,2751,2751,2429,0,0,1,https://github.com/chauncygu/collection-claude-code-source-code
hangsman/claude-code-source,787,787,1759,0,0,0,https://github.com/hangsman/claude-code-source
lintsinghua/claude-code-book,3904,3904,792,-1,-1,0,https://github.com/lintsinghua/claude-code-book
ChrisWiles/claude-code-showcase,5988,5988,560,0,0,0,https://github.com/ChrisWiles/claude-code-showcase
wanshuiyin/Auto-claude-code-research-in-sleep,13291,13291,1201,10,10,0,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
huangserva/claude-code-cli,618,618,1309,0,0,0,https://github.com/huangserva/claude-code-cli
OneRedOak/claude-code-workflows,3880,3880,564,0,0,0,https://github.com/OneRedOak/claude-code-workflows
FlorianBruniaux/claude-code-ultimate-guide,5414,5414,709,1,1,1,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
nicedreamzapp/claude-code-local,2933,2933,562,1,1,0,https://github.com/nicedreamzapp/claude-code-local
1rgs/claude-code-proxy,3682,3682,479,0,0,0,https://github.com/1rgs/claude-code-proxy
zebbern/claude-code-guide,4390,4390,445,1,1,0,https://github.com/zebbern/claude-code-guide
anthropics/claude-code-security-review,5520,5520,586,0,0,0,https://github.com/anthropics/claude-code-security-review
lorryjovens-hub/claude-code-rust,1666,1666,639,-1,-1,0,https://github.com/lorryjovens-hub/claude-code-rust
zstmfhy/Claude-code,190,190,284,0,0,-1,https://github.com/zstmfhy/Claude-code
rohitg00/awesome-claude-code-toolkit,2300,2300,795,0,0,0,https://github.com/rohitg00/awesome-claude-code-toolkit
Maciek-roboblog/Claude-Code-Usage-Monitor,8431,8431,433,-1,-1,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
affaan-m/ECC,228730,228730,35075,44,44,3,https://github.com/affaan-m/ECC
Windy3f3f3f3f/how-claude-code-works,3135,3135,665,1,1,0,https://github.com/Windy3f3f3f3f/how-claude-code-works
alejandrobalderas/claude-code-from-source,2698,2698,740,0,0,0,https://github.com/alejandrobalderas/claude-code-from-source
disler/claude-code-hooks-mastery,3824,3824,628,0,0,0,https://github.com/disler/claude-code-hooks-mastery
777genius/claude-code-source-code,920,920,1097,0,0,0,https://github.com/777genius/claude-code-source-code
fuergaosi233/claude-code-proxy,2721,2721,404,-1,-1,0,https://github.com/fuergaosi233/claude-code-proxy
RichardAtCT/claude-code-telegram,2730,2730,403,0,0,0,https://github.com/RichardAtCT/claude-code-telegram
ding113/claude-code-hub,3236,3236,374,-1,-1,0,https://github.com/ding113/claude-code-hub
kodu-ai/claude-coder,5256,5256,198,0,0,0,https://github.com/kodu-ai/claude-coder
Yuyz0112/claude-code-reverse,2398,2398,406,0,0,0,https://github.com/Yuyz0112/claude-code-reverse
fazxes/Claude-code,225,225,216,0,0,0,https://github.com/fazxes/Claude-code
SeemSeam/claude_codex_bridge,3244,3244,315,1,1,0,https://github.com/SeemSeam/claude_codex_bridge
Cranot/claude-code-guide,2843,2843,320,0,0,0,https://github.com/Cranot/claude-code-guide
multica-ai/andrej-karpathy-skills,191035,191035,19606,47,47,3,https://github.com/multica-ai/andrej-karpathy-skills
Windy3f3f3f3f/claude-code-from-scratch,2251,2251,481,1,1,0,https://github.com/Windy3f3f3f3f/claude-code-from-scratch
luyao618/Claude-Code-Source-Study,1601,1601,553,0,0,0,https://github.com/luyao618/Claude-Code-Source-Study
Chachamaru127/claude-code-harness,2965,2965,286,1,1,0,https://github.com/Chachamaru127/claude-code-harness
https-deeplearning-ai/sc-claude-code-files,533,533,804,0,0,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
AprilNEA/claude-code-source,390,390,611,0,0,0,https://github.com/AprilNEA/claude-code-source
repowise-dev/claude-code-prompts,1155,1155,386,1,1,0,https://github.com/repowise-dev/claude-code-prompts
anthropics/claude-code-base-action,901,901,610,0,0,0,https://github.com/anthropics/claude-code-base-action
anthropics/skills,160436,160436,18938,26,26,7,https://github.com/anthropics/skills
guanshan/ClaudeCode,61,61,213,0,0,0,https://github.com/guanshan/ClaudeCode
JrCx7scC/claude-code-source,371,371,547,0,0,0,https://github.com/JrCx7scC/claude-code-source
edmund-io/edmunds-claude-code,1481,1481,286,0,0,0,https://github.com/edmund-io/edmunds-claude-code
huangjia2019/claude-code-engineering,967,967,345,0,0,0,https://github.com/huangjia2019/claude-code-engineering
carlvellotti/claude-code-pm-course,2130,2130,349,0,0,0,https://github.com/carlvellotti/claude-code-pm-course
Pimzino/claude-code-spec-workflow,3792,3792,265,1,1,0,https://github.com/Pimzino/claude-code-spec-workflow
jqueryscript/awesome-claude-code,463,463,448,0,0,0,https://github.com/jqueryscript/awesome-claude-code
Yeachan-Heo/oh-my-claudecode,37685,37685,3404,3,3,0,https://github.com/Yeachan-Heo/oh-my-claudecode
feiskyer/claude-code-settings,1586,1586,237,0,0,0,https://github.com/feiskyer/claude-code-settings
andrew-kramer-inno/claude-code-source-build,594,594,524,0,0,0,https://github.com/andrew-kramer-inno/claude-code-source-build
AICoderTudou/claude-code-tudou,498,498,396,0,0,0,https://github.com/AICoderTudou/claude-code-tudou
disler/pi-vs-claude-code,1477,1477,353,0,0,0,https://github.com/disler/pi-vs-claude-code
router-for-me/CLIProxyAPI,40188,40188,6592,80,80,6,https://github.com/router-for-me/CLIProxyAPI
VILA-Lab/Dive-into-Claude-Code,1874,1874,286,0,0,0,https://github.com/VILA-Lab/Dive-into-Claude-Code
krusemediallc/arcads-claude-code,1000,1000,267,1,1,0,https://github.com/krusemediallc/arcads-claude-code
darcyegb/ClaudeCodeAgents,746,746,68,0,0,0,https://github.com/darcyegb/ClaudeCodeAgents
jeremylongshore/claude-code-plugins-plus-skills,2504,2504,358,0,0,0,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
digitalsamba/claude-code-video-toolkit,1729,1729,294,0,0,0,https://github.com/digitalsamba/claude-code-video-toolkit
KPR111/Claude-Code,18,18,325,0,0,0,https://github.com/KPR111/Claude-Code
alirezarezvani/claude-skills,22263,22263,3111,17,17,3,https://github.com/alirezarezvani/claude-skills
centminmod/my-claude-code-setup,2502,2502,238,0,0,0,https://github.com/centminmod/my-claude-code-setup
luongnv89/claude-howto,39674,39674,4791,4,4,0,https://github.com/luongnv89/claude-howto
OrcaWhisper/Claude-Code,83,83,163,0,0,0,https://github.com/OrcaWhisper/Claude-Code
xu-xiang/everything-claude-code-zh,1627,1627,274,1,1,0,https://github.com/xu-xiang/everything-claude-code-zh
simonw/claude-code-transcripts,1611,1611,190,1611,1611,190,https://github.com/simonw/claude-code-transcripts
